date,count_American,count_Carmel,count_Diplo,count_Federal,count_Firstclass,count_Highclass,count_Prestige,count_Skyline,count_Uber,Total,maxtempC,avgtempC,uvIndex,precipMM,cloudcover,humidity,weatherDesc,Weekday
2014-09-07,1107,2426,1122,3,1645,2014,3705,680,30134,42836,26.0,23.0,5.0,5.7,28.0,75.0,Patchy rain possible,Sunday
2014-09-08,883,3050,934,3,1826,1569,3157,1961,30360,43743,23.0,21.0,5.0,0.2,6.0,71.0,Patchy rain possible,Monday
2014-09-09,860,2780,810,4,1750,1472,3086,2106,34560,47428,22.0,20.0,5.0,0.8,58.0,78.0,Light rain shower,Tuesday
2014-09-10,878,3006,865,1,1797,1413,2993,2219,35910,49082,25.0,21.0,6.0,0.0,9.0,78.0,Sunny,Wednesday
2014-09-11,860,3237,939,2,1908,1465,3210,2128,36439,50188,26.0,23.0,5.0,1.0,45.0,88.0,Light drizzle,Thursday
2014-09-12,1096,3183,1113,1,2016,1883,3877,1731,39540,54440,25.0,19.0,5.0,0.2,23.0,77.0,Sunny,Friday
2014-09-13,1440,2315,1440,3,2085,2375,4470,747,43205,58080,25.0,22.0,5.0,0.9,50.0,80.0,Moderate rain at times,Saturday
2014-09-14,1256,2600,1261,0,1815,2163,4211,754,28122,42182,21.0,16.0,5.0,0.1,16.0,76.0,Partly cloudy,Sunday
2014-09-15,858,3294,953,2,1851,1613,3214,1988,29454,43227,24.0,18.0,5.0,0.0,12.0,69.0,Sunny,Monday
2014-09-16,873,3074,1025,0,1894,1676,3205,2230,36092,50069,22.0,18.0,4.0,2.2,36.0,79.0,Light rain shower,Tuesday
2014-09-17,785,3137,935,2,1742,1532,3013,2181,35531,48858,25.0,21.0,6.0,0.0,1.0,62.0,Sunny,Wednesday
2014-09-18,943,3507,983,3,1818,1616,3213,2204,40274,54561,23.0,20.0,6.0,0.0,22.0,63.0,Partly cloudy,Thursday
2014-09-19,1126,3256,1145,2,2072,1974,3895,1635,41017,56122,18.0,15.0,5.0,0.0,32.0,73.0,Partly cloudy,Friday
2014-09-20,1206,2297,1192,1,1836,2150,4198,574,38864,52318,22.0,20.0,5.0,0.0,47.0,81.0,Cloudy,Saturday
2014-09-21,1130,2462,1273,0,1723,2118,3909,651,28620,41886,26.0,23.0,5.0,1.2,37.0,88.0,Light rain shower,Sunday
2014-09-22,812,3270,969,2,1817,1638,3110,1784,28312,41714,21.0,17.0,5.0,0.0,2.0,70.0,Sunny,Monday
2014-09-23,768,2927,871,3,1771,1451,3025,1987,30316,43119,22.0,18.0,5.0,0.0,2.0,70.0,Sunny,Tuesday
2014-09-24,841,3066,968,1,1764,1437,3077,1927,31301,44382,21.0,19.0,5.0,0.0,19.0,73.0,Partly cloudy,Wednesday
2014-09-25,947,3159,984,1,1750,1565,3433,1725,38203,51767,15.0,15.0,3.0,9.0,85.0,89.0,Moderate rain at times,Thursday
2014-09-26,1101,2816,1055,1,1934,1801,3598,1477,37504,51287,27.0,21.0,6.0,0.0,4.0,74.0,Sunny,Friday
2014-09-27,1291,2240,1301,2,1917,2072,4297,561,39468,53149,30.0,24.0,6.0,0.0,0.0,78.0,Sunny,Saturday
2014-09-28,1080,2559,1260,1,1831,2032,3985,633,29656,43037,26.0,24.0,6.0,0.0,12.0,75.0,Sunny,Sunday
2014-09-29,772,3225,972,0,1868,1558,3215,1846,29201,42657,25.0,22.0,5.0,0.1,51.0,68.0,Overcast,Monday
2014-09-30,848,2824,1017,0,1789,1527,3137,2063,33431,46636,21.0,19.0,4.0,1.7,53.0,82.0,Light rain shower,Tuesday
